Time,Predicted_KWH,machine_type
2026-02-17 07:00:00,0.4881035,YWNC2_CONE
2026-02-17 07:00:00,0.06303988,YWNC3_CUP
2026-02-17 07:00:00,1.0106931,YWNC3_CONE
2026-02-17 07:00:00,0.4784661,YWNC2_CUP
2026-02-17 08:00:00,0.5248874,YWNC2_CONE
2026-02-17 08:00:00,0.011760397,YWNC3_CUP
2026-02-17 08:00:00,1.2628816,YWNC3_CONE
2026-02-17 08:00:00,0.62509817,YWNC2_CUP
2026-02-17 09:00:00,0.532666,YWNC2_CONE
2026-02-17 09:00:00,1.2593257,YWNC3_CONE
2026-02-17 09:00:00,0.23226714,YWNC3_CUP
2026-02-17 09:00:00,0.57748866,YWNC2_CUP
2026-02-17 10:00:00,1.3507824,YWNC3_CONE
2026-02-17 10:00:00,0.5450038,YWNC2_CUP
2026-02-17 10:00:00,0.009556974,YWNC3_CUP
2026-02-17 10:00:00,0.52939934,YWNC2_CONE
2026-02-17 11:00:00,0.52231854,YWNC2_CONE
2026-02-17 11:00:00,-0.07388772,YWNC3_CUP
2026-02-17 11:00:00,1.2091439,YWNC3_CONE
2026-02-17 11:00:00,0.62346745,YWNC2_CUP
2026-02-17 12:00:00,0.22125739,YWNC3_CUP
2026-02-17 12:00:00,0.5983058,YWNC2_CUP
2026-02-17 12:00:00,1.3136853,YWNC3_CONE
2026-02-17 12:00:00,0.49667683,YWNC2_CONE
2026-02-17 13:00:00,1.3161705,YWNC3_CONE
2026-02-17 13:00:00,0.32424694,YWNC3_CUP
2026-02-17 13:00:00,0.50491154,YWNC2_CUP
2026-02-17 13:00:00,0.5243146,YWNC2_CONE
2026-02-17 14:00:00,0.65251404,YWNC2_CUP
2026-02-17 14:00:00,0.50720435,YWNC2_CONE
2026-02-17 14:00:00,0.32362524,YWNC3_CUP
2026-02-17 14:00:00,1.3392662,YWNC3_CONE
2026-02-17 15:00:00,0.46373588,YWNC2_CONE
2026-02-17 15:00:00,0.6470954,YWNC2_CUP
2026-02-17 15:00:00,0.3968399,YWNC3_CUP
2026-02-17 15:00:00,1.3406105,YWNC3_CONE
2026-02-17 16:00:00,0.44129896,YWNC2_CONE
2026-02-17 16:00:00,0.6310814,YWNC2_CUP
2026-02-17 16:00:00,1.3552314,YWNC3_CONE
2026-02-17 16:00:00,0.31555274,YWNC3_CUP
2026-02-17 17:00:00,0.6027895,YWNC2_CUP
2026-02-17 17:00:00,0.42186758,YWNC3_CUP
2026-02-17 17:00:00,0.47983804,YWNC2_CONE
2026-02-17 17:00:00,1.3514112,YWNC3_CONE
2026-02-17 18:00:00,1.2996554,YWNC3_CONE
2026-02-17 18:00:00,0.4808019,YWNC2_CONE
2026-02-17 18:00:00,0.4752163,YWNC3_CUP
2026-02-17 18:00:00,0.58586675,YWNC2_CUP
2026-02-17 19:00:00,0.8411826,YWNC3_CONE
2026-02-17 19:00:00,-0.075618766,YWNC3_CUP
2026-02-17 19:00:00,0.5187419,YWNC2_CUP
2026-02-17 19:00:00,0.43871653,YWNC2_CONE
2026-02-17 20:00:00,1.1303087,YWNC3_CONE
2026-02-17 20:00:00,0.44705006,YWNC2_CONE
2026-02-17 20:00:00,0.12780786,YWNC3_CUP
2026-02-17 20:00:00,0.6056333,YWNC2_CUP
2026-02-17 21:00:00,1.3039447,YWNC3_CONE
2026-02-17 21:00:00,0.5162583,YWNC2_CUP
2026-02-17 21:00:00,0.3231144,YWNC3_CUP
2026-02-17 21:00:00,0.4597631,YWNC2_CONE
2026-02-17 22:00:00,1.2893804,YWNC3_CONE
2026-02-17 22:00:00,0.46617514,YWNC2_CONE
2026-02-17 22:00:00,0.50170374,YWNC2_CUP
2026-02-17 22:00:00,0.31947014,YWNC3_CUP
2026-02-17 23:00:00,0.501358,YWNC2_CUP
2026-02-17 23:00:00,1.2874823,YWNC3_CONE
2026-02-17 23:00:00,0.3157956,YWNC3_CUP
2026-02-17 23:00:00,0.44496354,YWNC2_CONE
2026-02-18 00:00:00,0.55084217,YWNC2_CUP
2026-02-18 00:00:00,1.4023198,YWNC3_CONE
2026-02-18 00:00:00,0.39534634,YWNC3_CUP
2026-02-18 00:00:00,0.44775677,YWNC2_CONE
2026-02-18 01:00:00,1.3604327,YWNC3_CONE
2026-02-18 01:00:00,0.4683355,YWNC2_CONE
2026-02-18 01:00:00,0.6454607,YWNC2_CUP
2026-02-18 01:00:00,0.39534634,YWNC3_CUP
2026-02-18 02:00:00,0.39534634,YWNC3_CUP
2026-02-18 02:00:00,1.4055502,YWNC3_CONE
2026-02-18 02:00:00,0.5052186,YWNC2_CUP
2026-02-18 02:00:00,0.45655343,YWNC2_CONE
2026-02-18 03:00:00,1.4296329,YWNC3_CONE
2026-02-18 03:00:00,0.48070055,YWNC2_CUP
2026-02-18 03:00:00,0.441079,YWNC2_CONE
2026-02-18 03:00:00,0.31683475,YWNC3_CUP
2026-02-18 04:00:00,1.3804214,YWNC3_CONE
2026-02-18 04:00:00,0.3208573,YWNC3_CUP
2026-02-18 04:00:00,0.4597794,YWNC2_CONE
2026-02-18 04:00:00,0.49955857,YWNC2_CUP
2026-02-18 05:00:00,1.383691,YWNC3_CONE
2026-02-18 05:00:00,0.22839947,YWNC3_CUP
2026-02-18 05:00:00,0.4729842,YWNC2_CUP
2026-02-18 05:00:00,0.42301875,YWNC2_CONE
2026-02-18 06:00:00,0.56622744,YWNC2_CUP
2026-02-18 06:00:00,0.44508567,YWNC2_CONE
2026-02-18 06:00:00,1.0033743,YWNC3_CONE
2026-02-18 06:00:00,0.0634835,YWNC3_CUP
