,HOURLY_KWH,AVG_CURRENT,AVG_V_LN,power_proxy,hour,weekday,day_of_month,month,week_of_year,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,kwh_lag_1,kwh_lag_2,kwh_lag_24,kwh_lag_168,kwh_roll_3h_mean,kwh_roll_24h_mean,kwh_roll_24h_std,kwh_roll_24h_min,kwh_roll_24h_max,kwh_roll_168h_mean,kwh_roll_168h_std,kwh_ratio_to_24h_avg,kwh_ratio_to_168h_avg,HOURLY_KWH_capped
2025-07-29 21:00:00,3.162000000000262,5.46275,229.131,1251.68537025,21,1,29,7,31,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,2.911000000000058,2.4310000000004948,3.1010000000005675,0.5069999999996071,2.8346666666669385,2.805041666666663,0.23015542558790078,2.228000000000975,3.162000000000262,2.3403214285714338,0.6423914393377858,1.1272555806638709,1.3510958837968288,2.293500000001586
2025-07-29 22:00:00,2.628999999998996,5.446272727272727,230.27845454545457,1254.1592666694214,22,1,29,7,31,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,3.162000000000262,2.911000000000058,2.907999999999447,1.1970000000001164,2.9006666666664387,2.7934166666666442,0.23176935999375592,2.228000000000975,3.162000000000262,2.3488452380952367,0.6366044583447169,0.9411410371497198,1.1192729253026565,2.293500000001586
2025-07-29 23:00:00,2.67200000000048,4.4245833333333335,230.52833333333334,1019.9918215277778,23,1,29,7,31,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,-0.4999999999999997,-0.8660254037844388,2.628999999998996,3.162000000000262,2.514999999999418,1.2420000000001892,2.8209999999999127,2.7999583333333553,0.2257057490294372,2.228000000000975,3.162000000000262,2.3573571428571434,0.6312540748498523,0.9542995743511248,1.1334722337786092,2.293500000001586
2025-07-30 00:00:00,2.6939999999995052,5.3291818181818185,230.00763636363635,1225.752513752066,0,2,30,7,31,0.0,1.0,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.67200000000048,2.628999999998996,2.9279999999998836,1.90099999999984,2.6649999999996603,2.7902083333333394,0.22498714536552486,2.228000000000975,3.162000000000262,2.362077380952379,0.6307858822973705,0.9655189550889728,1.1405210012181293,2.293500000001586
2025-07-30 01:00:00,2.9140000000006694,4.637,230.2491666666667,1067.6653858333334,1,2,30,7,31,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.6939999999995052,2.67200000000048,3.0570000000006985,1.1869999999998981,2.7600000000002183,2.784250000000005,0.21943965199930004,2.228000000000975,3.162000000000262,2.3723571428571457,0.6255719637778234,1.0466010427941532,1.2283136965530836,2.293500000001586
2025-07-30 02:00:00,3.040999999999258,5.2915,229.88316666666665,1216.4267764166666,2,2,30,7,31,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.9140000000006694,2.6939999999995052,2.6149999999997817,1.1450000000004366,2.882999999999811,2.801999999999983,0.22236378341335783,2.228000000000975,3.162000000000262,2.383642857142853,0.6203780336370188,1.0852958296586175,1.275777835219202,2.293500000001586
2025-07-30 03:00:00,2.875,5.238916666666666,230.1165,1205.5611671249999,3,2,30,7,31,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,3.040999999999258,2.9140000000006694,2.842000000000553,1.0209999999988213,2.943333333333309,2.80337499999996,0.22272361747824715,2.228000000000975,3.162000000000262,2.3946785714285745,0.6124324875066781,1.02554919497065,1.2005781626494958,2.293500000001586
2025-07-30 04:00:00,2.6710000000002765,4.8442727272727275,229.8728181818182,1113.5666238595043,4,2,30,7,31,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.875,3.040999999999258,2.469999999999345,1.7070000000003347,2.862333333333178,2.8117499999999986,0.21321906473198676,2.228000000000975,3.162000000000262,2.4004166666666693,0.6104636665875688,0.9499418689636022,1.1127230219519881,2.293500000001586
2025-07-30 05:00:00,2.0670000000009168,3.628,231.05391666666665,838.2636096666666,5,2,30,7,31,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.6710000000002765,2.875,2.7189999999991414,2.0,2.5376666666670644,2.7845833333334062,0.2615980847997896,2.0670000000009168,3.162000000000262,2.400815476190484,0.6102223496779353,0.7423010950889484,0.8609571037602785,2.0670000000009168
2025-07-30 06:00:00,2.4209999999984575,3.8687500000000004,232.79075,900.6092140625001,6,2,30,7,31,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,-0.4999999999999997,-0.8660254037844388,2.0670000000009168,2.6710000000002765,3.022000000000844,1.9870000000009895,2.386333333333217,2.75954166666664,0.2666008218073211,2.0670000000009168,3.162000000000262,2.4033988095238024,0.6093780709967618,0.8773192852723232,1.0073230389737537,2.293500000001586
